"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3";4;"MountingHole_3.2mm_M3";;;
2;"U3";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
3;"U2";"DIP-6_W7.62mm_LongPads";1;"4N25";;;
4;"U1";"DIP-16_W7.62mm_LongPads";1;"4020";;;
5;"SW3";"SW_SPST_PTS645";1;"RESET";;;
6;"SW2";"SW_SPST_PTS645";1;"BOOT";;;
7;"SW1";"SW_CuK_OS102011MA1QN1_SPDT_Angled";1;"SW_SPDT";;;
8;"R3";"R_1206_3216Metric";1;"10kR";;;
9;"R2";"R_1206_3216Metric";1;"620";;;
10;"R1";"R_1206_3216Metric";1;"10k";;;
11;"J6";"PinHeader_2x04_P2.54mm_Vertical";1;"Conn_02x04_Odd_Even";;;
12;"J5";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Anemometer";;;
13;"J4";"PinHeader_1x01_P2.54mm_Vertical";1;"Battery Status";;;
14;"J3";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Charge Controller";;;
15;"J2";"PinSocket_1x04_P2.54mm_Vertical";1;"BuckConverter";;;
16;"J1";"JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical";1;"Sound Sensor";;;
17;"IC1";"DHT22";1;"DHT22";;;
18;"C4,C2,C1";"C_1206_3216Metric";3;"0.1uF";;;
19;"C3";"C_1206_3216Metric";1;"22uF";;;
